0.000000000000000000e+00,9.992914446808913720e-01,7.190091538251535373e-03,9.911857633774991960e-01,7.283705137004985175e-03
1.010101010101010166e+00,9.434188359786507272e-01,7.877894520801584019e-03,9.155938555269312884e-01,8.261201295232990099e-03
2.020202020202020332e+00,8.924969001548642700e-01,8.602919012402399090e-03,8.481511039273936792e-01,9.326936996579316547e-03
3.030303030303030276e+00,8.459373982149787086e-01,9.365649998114972813e-03,7.877802701883981351e-01,1.048421589557380594e-02
4.040404040404040664e+00,8.031613578322083224e-01,1.016809324549225631e-02,7.335014203231159380e-01,1.173782701559382587e-02
5.050505050505051052e+00,7.637849656639110751e-01,1.101025897269850180e-02,6.843570803683436399e-01,1.309709185637498302e-02
6.060606060606060552e+00,7.274151918897573399e-01,1.189346900869074630e-02,6.395728207944292310e-01,1.457300873000475470e-02
7.070707070707070940e+00,6.937066450460486200e-01,1.281943600654190767e-02,5.984830387540591712e-01,1.617996062654612072e-02
8.080808080808081328e+00,6.623305797169807274e-01,1.379113779423518996e-02,5.605173447626199401e-01,1.793650655972849062e-02
9.090909090909091717e+00,6.329342689513747233e-01,1.481468066169116041e-02,5.250384627496932355e-01,1.987524053191342885e-02
1.010101010101010210e+01,6.053945211830547013e-01,1.589013019143920014e-02,4.917440932295891742e-01,2.202311790802613523e-02
1.111111111111111249e+01,5.795113730615770731e-01,1.702110891873323192e-02,4.603202984952460830e-01,2.441725116378897983e-02
1.212121212121212110e+01,5.551104224774975338e-01,1.821172266962198250e-02,4.304977814792334545e-01,2.710426509586450275e-02
1.313131313131313149e+01,5.320067910751322682e-01,1.946846481563938025e-02,4.020620038565076992e-01,3.014118569604828934e-02
1.414141414141414188e+01,5.099842315573511753e-01,2.080245457296268224e-02,3.746426556614106951e-01,3.362591490552425261e-02
1.515151515151515227e+01,4.890476728129960482e-01,2.221338273871421506e-02,3.483242864050989929e-01,3.762548327152814842e-02
1.616161616161616266e+01,4.690987527227880038e-01,2.370757208594609020e-02,3.230641451816647081e-01,4.223796857443080921e-02
1.717171717171717304e+01,4.500522910510911245e-01,2.529189152273590702e-02,2.988425029858463033e-01,4.757989467010471929e-02
1.818181818181818343e+01,4.317986886530456037e-01,2.697726180174392363e-02,2.756730699862068312e-01,5.378447588556451581e-02
1.919191919191919382e+01,4.142043349848735234e-01,2.878037800209621092e-02,2.534563670111499856e-01,6.105058109081241968e-02
2.020202020202020421e+01,3.973280314942522762e-01,3.070007257846160686e-02,2.324172084881295508e-01,6.949848275248347862e-02
2.121212121212121460e+01,3.811235117872058265e-01,3.274560037661426032e-02,2.126135492379723213e-01,7.929689853510063502e-02
2.222222222222222499e+01,3.655510096390162111e-01,3.492676757289753242e-02,1.940819608276348196e-01,9.062410644778759461e-02
2.323232323232323537e+01,3.505407243845485854e-01,3.725974924051810022e-02,1.768391225168049197e-01,1.036615302275502998e-01
2.424242424242424221e+01,3.360107864247025566e-01,3.976686374818457631e-02,1.608404731052077152e-01,1.186291301232034051e-01
2.525252525252525260e+01,3.220326208619531116e-01,4.244543372813629201e-02,1.461164284325159046e-01,1.356529020124527807e-01
2.626262626262626299e+01,3.085836646440268116e-01,4.530763624485737578e-02,1.326156457406909295e-01,1.548875153088183909e-01
2.727272727272727337e+01,2.956437272055262855e-01,4.836620803203867114e-02,1.202734646728519097e-01,1.764647892852025113e-01
2.828282828282828376e+01,2.831615951439825363e-01,5.164354962020190065e-02,1.090174090386531042e-01,2.004824226141609933e-01
2.929292929292929415e+01,2.710846186585986750e-01,5.516756261191383542e-02,9.876522863858580581e-02,2.270092103039780540e-01
